Business type,Vendor name,Vendor type,Line of business,Programme name,Job code,Batch/Semester ,Batches ,Training hours ,Paper Name ,Training hours ,,Total
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,1,30,AAA,236,2350,"2,06,900"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,1,30,AFM,236,2350,"5,06,200"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,2,30,APM,236,2350,"5,25,300"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,2,30,ATX,140,2350,"4,30,600"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,2,30,FR,456,2350,"5,24,890"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,2,30,PM,432,2350,"3,27,650"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,1,30,SBL,432,2350,"3,30,250"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,2,30,SBR,424,2350,"4,05,851"
B2C,To be Decided,Trainer,ACCA,ACCA,Learning Solutions-ACCA-3-2627-04-P,FY26-27,1,30,Tax,120,2350,"3,30,221"
